,Exchange Name,Country,Code,Currency,Stocks
0,US OTC,United States,OTC,USD,7458
1,Tokyo Stock Exchange,Japan,TYO,JPY,3873
2,Nasdaq Stock Market,United States,NASDAQ,USD,3328
3,Shenzhen Stock Exchange,China,SHE,CNY,2808
4,Bombay Stock Exchange,India,BOM,INR,2577
5,Hong Kong Stock Exchange,Hong Kong,HKG,HKD,2415
6,Shanghai Stock Exchange,China,SHA,CNY,2170
7,National Stock Exchange of India,India,NSE,INR,1983
8,New York Stock Exchange,United States,NYSE,USD,1960
9,Australian Securities Exchange,Australia,ASX,AUD,1640
10,KOSDAQ,South Korea,KOSDAQ,KRW,1636
11,Taipei Exchange,Taiwan,TPEX,TWD,1132
12,Taiwan Stock Exchange,Taiwan,TPE,TWD,1013
13,Bursa Malaysia,Malaysia,KLSE,MYR,954
14,Stock Exchange of Thailand,Thailand,BKK,THB,847
15,Indonesia Stock Exchange,Indonesia,IDX,IDR,843
16,Korea Stock Exchange,South Korea,KRX,KRW,813
17,TSX Venture Exchange,Canada,TSXV,CAD,793
18,Nasdaq Stockholm,Sweden,STO,SEK,734
19,Toronto Stock Exchange,Canada,TSX,CAD,709
20,Deutsche Börse Xetra,Germany,ETR,EUR,687
21,London Stock Exchange AIM,United Kingdom,AIM,GBP,677
22,London Stock Exchange,United Kingdom,LON,GBP,603
23,Euronext Paris,France,EPA,EUR,596
24,Tel Aviv Stock Exchange,Israel,TLV,ILS,483
25,Pakistan Stock Exchange,Pakistan,PSX,PKR,450
26,Canadian Securities Exchange,Canada,CSE,CAD,406
27,Ho Chi Minh Stock Exchange,Vietnam,HOSE,VND,384
28,Warsaw Stock Exchange,Poland,WSE,PLN,383
29,Dhaka Stock Exchange,Bangladesh,DSE,BDT,353
30,Singapore Exchange,Singapore,SGX,SGD,340
31,Saudi Stock Exchange,Saudi Arabia,TADAWUL,SAR,309
32,Brazil Stock Exchange,Brazil,BVMF,BRL,307
33,Colombo Stock Exchange,Sri Lanka,COSE,LKR,267
34,Philippine Stock Exchange,Philippines,PSE,PHP,261
35,Borsa Italiana,Italy,BIT,EUR,242
36,Oslo Børs,Norway,OSL,NOK,239
37,NYSE American,United States,AMEX,USD,235
38,Egyptian Stock Exchange,Egypt,EGX,EGP,215
39,Johannesburg Stock Exchange,South Africa,JSE,ZAR,210
40,SIX Swiss Exchange,Switzerland,SWX,CHF,207
41,Moscow Stock Exchange,Russia,MOEX,RUB,202
42,Bucharest Stock Exchange,Romania,BVB,RON,174
43,Singapore Exchange - Catalist,Singapore,SGXC,SGD,160
44,Copenhagen Stock Exchange,Denmark,CPH,DKK,157
45,Santiago Stock Exchange,Chile,SNSE,CLP,154
46,Nasdaq Helsinki,Finland,HEL,EUR,151
47,Nigerian Stock Exchange,Nigeria,NGX,NGN,148
