Exchange Name,Country,Code,Currency,Stocks
US OTC,United States,OTC,USD,7459
Tokyo Stock Exchange,Japan,TYO,JPY,3873
Nasdaq Stock Market,United States,NASDAQ,USD,3328
Shenzhen Stock Exchange,China,SHE,CNY,2808
Bombay Stock Exchange,India,BOM,INR,2577
Hong Kong Stock Exchange,Hong Kong,HKG,HKD,2415
Shanghai Stock Exchange,China,SHA,CNY,2170
National Stock Exchange of India,India,NSE,INR,1983
New York Stock Exchange,United States,NYSE,USD,1960
Australian Securities Exchange,Australia,ASX,AUD,1642
KOSDAQ,South Korea,KOSDAQ,KRW,1636
Taipei Exchange,Taiwan,TPEX,TWD,1132
Taiwan Stock Exchange,Taiwan,TPE,TWD,1013
Bursa Malaysia,Malaysia,KLSE,MYR,954
Stock Exchange of Thailand,Thailand,BKK,THB,847
Indonesia Stock Exchange,Indonesia,IDX,IDR,843
Korea Stock Exchange,South Korea,KRX,KRW,813
TSX Venture Exchange,Canada,TSXV,CAD,793
Nasdaq Stockholm,Sweden,STO,SEK,734
Toronto Stock Exchange,Canada,TSX,CAD,709
Deutsche Börse Xetra,Germany,ETR,EUR,687
London Stock Exchange AIM,United Kingdom,AIM,GBP,677
London Stock Exchange,United Kingdom,LON,GBP,603
Euronext Paris,France,EPA,EUR,596
Tel Aviv Stock Exchange,Israel,TLV,ILS,483
Pakistan Stock Exchange,Pakistan,PSX,PKR,450
Canadian Securities Exchange,Canada,CSE,CAD,406
Ho Chi Minh Stock Exchange,Vietnam,HOSE,VND,384
Warsaw Stock Exchange,Poland,WSE,PLN,383
Dhaka Stock Exchange,Bangladesh,DSE,BDT,353
Singapore Exchange,Singapore,SGX,SGD,340
Saudi Stock Exchange,Saudi Arabia,TADAWUL,SAR,309
Brazil Stock Exchange,Brazil,BVMF,BRL,307
Colombo Stock Exchange,Sri Lanka,COSE,LKR,267
Philippine Stock Exchange,Philippines,PSE,PHP,261
Borsa Italiana,Italy,BIT,EUR,242
Oslo Børs,Norway,OSL,NOK,239
NYSE American,United States,AMEX,USD,235
Egyptian Stock Exchange,Egypt,EGX,EGP,215
Johannesburg Stock Exchange,South Africa,JSE,ZAR,210
SIX Swiss Exchange,Switzerland,SWX,CHF,207
Moscow Stock Exchange,Russia,MOEX,RUB,202
Bucharest Stock Exchange,Romania,BVB,RON,175
Singapore Exchange - Catalist,Singapore,SGXC,SGD,160
Copenhagen Stock Exchange,Denmark,CPH,DKK,157
Santiago Stock Exchange,Chile,SNSE,CLP,154
Nasdaq Helsinki,Finland,HEL,EUR,151
Nigerian Stock Exchange,Nigeria,NGX,NGN,148
Madrid Stock Exchange,Spain,BME,EUR,142
Kuwait Stock Exchange,Kuwait,KWSE,KWD,142
Nordic Growth Market,Sweden,NGM,SEK,138
Frankfurt Stock Exchange,Germany,FRA,EUR,137
Istanbul Stock Exchange,Turkey,IST,TRY,137
New Zealand Stock Exchange,New Zealand,NZE,NZD,118
Amman Stock Exchange,Jordan,ASE,JOD,116
Korea New Exchange,South Korea,XKON,KRW,112
Luxembourg Stock Exchange,Luxembourg,LUX,EUR,111
Euronext Brussels,Belgium,EBR,EUR,106
Euronext Amsterdam,Netherlands,AMS,EUR,104
Lima Stock Exchange,Peru,BVL,PEN,104
Muscat Securities Market,Oman,MSM,OMR,103
Vienna Stock Exchange,Austria,VIE,EUR,97
Abu Dhabi Securities Exchange,United Arab Emirates,ADX,AED,96
Jamaica Stock Exchange,Jamaica,JMSE,JMD,94
Mauritius Stock Exchange,Mauritius,MUSE,MUR,89
Athens Stock Exchange,Greece,ATH,EUR,87
Cboe Canada,Canada,NEO,CAD,85
Aquis Exchange,United Kingdom,AQU,GBP,84
Bulgarian Stock Exchange,Bulgaria,BUL,BGN,76
Hamburg Stock Exchange,Germany,HAM,EUR,71
Casablanca Stock Exchange,Morocco,CBSE,MAD,69
Tunis Stock Exchange,Tunisia,BVMT,TND,65
Buenos Aires Stock Exchange,Argentina,BCBA,ARS,63
Colombia Stock Exchange,Colombia,BVC,COP,59
Nagoya Stock Exchange,Japan,XNGO,JPY,57
Nairobi Stock Exchange,Kenya,NASE,KES,53
Qatar Stock Exchange,Qatar,QSE,QAR,52
Dubai Financial Market,United Arab Emirates,DFM,AED,51
Zagreb Stock Exchange,Croatia,ZSE,HRK,48
Budapest Stock Exchange,Hungary,BUD,HUF,46
Prague Stock Exchange,Czech Republic,PRA,CZK,45
Ivory Coast Stock Exchange,Ivory Coast,BRVM,XOF,43
Mexican Stock Exchange,Mexico,BMV,MXN,41
Dusseldorf Stock Exchange,Germany,DUSE,EUR,40
Euronext Lisbon,Portugal,ELI,EUR,36
Nasdaq Iceland,Iceland,ICE,ISK,33
Stuttgart Stock Exchange,Germany,BST,EUR,31
Cyprus Stock Exchange,Cyprus,CYS,EUR,31
Namibian Stock Exchange,Namibia,NMSE,NAD,31
Nasdaq Tallinn,Estonia,TAL,EUR,30
Nasdaq Vilnius,Lithuania,VSE,EUR,27
Euronext Dublin,Ireland,ISE,EUR,26
Palestine Stock Exchange,Palestine,PEX,JOD,24
Bahrain Stock Exchange,Bahrain,BAX,BHD,23
Fukuoka Stock Exchange,Japan,FKSE,JPY,23
Malta Stock Exchange,Malta,MSE,EUR,23
Caracas Stock Exchange,Venezuela,CCSE,VES,19
Tanzania Stock Exchange,Tanzania,DAR,TZS,19
Lusaka Stock Exchange,Zambia,LUSE,ZMW,19
Belgrade Stock Exchange,Serbia,BELEX,EUR,18
Botswana Stock Exchange,Botswana,BSM,BWP,18
Kazakhstan Stock Exchange,Kazakhstan,KASE,KZT,18
Sapporo Stock Exchange,Japan,SPSE,JPY,17
Uganda Securities Exchange,Uganda,UGSE,UGX,17
Ljubljana Stock Exchange,Slovenia,LJSE,EUR,15
Malawi Stock Exchange,Malawi,MAL,MWK,13
Nasdaq Riga,Latvia,RSE,EUR,11
Beirut Stock Exchange,Lebanon,BDB,LBP,8
Bratislava Stock Exchange,Slovakia,BSSE,EUR,6
PFTS Stock Exchange,Ukraine,UKR,UAH,6
CBOE Europe,Europe,CHIX,EUR,5
Zimbabwe Stock Exchange,Zimbabwe,ZMSE,ZWL,5
